# BASE DE CONHECIMENTO DO CHATBOT - DIGITAL SUPERBANK
# Formato: CATEGORIA | PERGUNTA | RESPOSTA | PALAVRAS-CHAVE | INTENT | VARIACOES

# ===== CATEGORIA: CONTAS =====
seguranca|Meus dados estão seguros?|Sim! Temos várias camadas de segurança:\n\n• **Senhas** são criptografadas com bcrypt\n• **Tokens JWT** com expiração de 30 minutos\n• **Validação** em todas as operações\n• **Proteção de rotas** - só você acessa suas informações\n• **Transações atômicas** - rollback automático em falhas\n• **HTTPS** recomendado para produção\n\nSeus dados estão protegidos!|seguranca, seguro, protecao|info_seguranca|É seguro;Proteção de dados;Segurança do banco

# ===== CATEGORIA: PIX =====
pix|Como cadastrar chave PIX?|Para cadastrar uma chave PIX:\n\nPOST /api/v1/pix/keys/\n\nEnvie:\n{\n  "account_id": 123,\n  "key_type": "CPF",\n  "key_value": "123.456.789-10"\n}\n\nTipos aceitos:\n• CPF\n• EMAIL\n• PHONE\n• EVP (chave aleatória)|pix, chave, cadastrar, registrar|cadastrar_pix|Como cadastro PIX;Registrar chave PIX;Criar chave

pix|Como listar minhas chaves PIX?|Para ver suas chaves PIX:\n\nGET /api/v1/pix/keys/?account_id=123\n\nVocê verá:\n• Tipo da chave\n• Valor da chave\n• Status (ativa/inativa)\n• Data de criação|pix, chaves, listar, minhas|listar_chaves_pix|Minhas chaves PIX;Ver chaves cadastradas;Quais chaves tenho

pix|Como excluir chave PIX?|Para excluir uma chave PIX:\n\nDELETE /api/v1/pix/keys/{key_id}\n\nA chave será removida imediatamente e não poderá mais receber PIX.|pix, excluir, deletar, remover|excluir_pix|Deletar chave PIX;Remover PIX;Apagar chave

# ===== CATEGORIA: SUPORTE =====
suporte|Como entro em contato com o suporte?|Você pode:\n\n1. **Usar este chatbot** - Estou aqui para ajudar 24/7!\n2. **Email:** suporte@digitalbank.com\n3. **Telefone:** (11) 4000-0000\n4. **WhatsApp:** (11) 99999-9999\n\nEstamos sempre prontos para te ajudar!|suporte, ajuda, contato, telefone|contato_suporte|Falar com suporte;Preciso de ajuda;Contato do banco

suporte|Onde vejo a documentação da API?|Temos documentação completa!\n\n• **Swagger UI:** http://localhost:8000/docs\n• **ReDoc:** http://localhost:8000/redoc\n\nLá você encontra:\n• Todos os endpoints\n• Exemplos de requisições\n• Schemas de dados\n• Como testar|documentacao, api, swagger, docs|ver_documentacao|Documentação da API;Onde está os docs;Ver API docs

suporte|Qual o horário de atendimento?|**Digital Superbank funciona 24/7!**\n\n• API disponível 24 horas\n• PIX 24/7\n• Chatbot sempre ativo\n• Transações a qualquer hora\n\nAtendimento humano:\n• Segunda a Sexta: 8h às 20h\n• Sábado: 8h às 14h\n• Domingo e feriados: Chatbot|horario, atendimento, funcionamento|horario_atendimento|Que horas funciona;Horário do banco;Quando posso usar

# ===== CATEGORIA: GERAL =====
geral|O que é o Digital Superbank?|**Digital Superbank** é um sistema bancário digital completo!\n\nOferecemos:\n• 7 tipos de contas\n• Transações (PIX, boletos, transferências)\n• Cartões de crédito (3 categorias)\n• Investimentos (ações e fundos)\n• Simulador de mercado em tempo real\n• WebSocket para dados ao vivo\n• API REST completa\n• Chatbot inteligente (eu!)\n\nTudo 100% digital e seguro!|digital superbank, banco, o que e|info_banco|O que é isso;Sobre o banco;Quem é Digital Superbank

geral|Obrigado!|Por nada!\n\nFico feliz em ajudar! Se precisar de mais alguma coisa, é só perguntar.\n\nLembre-se: estou aqui 24/7 para te ajudar com:\n• Contas\n• Transações\n• Cartões\n• Investimentos\n• E muito mais!\n\nTenha um ótimo dia!|obrigado, obrigada, valeu|agradecimento|Valeu;Muito obrigado;Brigadão

geral|Oi|Olá! Seja bem-vindo ao Digital Superbank!\n\nEu sou o assistente virtual e estou aqui para ajudar você com:\n• Abertura de contas\n• Transações bancárias\n• Cartões de crédito\n• Investimentos\n• Dúvidas sobre o sistema\n\nComo posso te ajudar hoje?|oi, ola, bem-vindo|saudacao|Olá;Bom dia;Boa tarde;Boa noite;Hey
